Origin,"Albany, NY, USA","Atlanta, GA, USA","Austin, TX, USA","Baltimore, MD, USA","Baton Rouge, LA, USA","Beaumont, TX, USA","Birmingham, AL, USA","Boston, MA, USA","Buffalo, NY, USA","Charleston, SC, USA","Charlotte, NC, USA","Chicago, IL, USA","Cincinnati, OH, USA","Cleveland, OH, USA","Columbus, OH, USA","Corpus Christi, TX, USA","Dallas, TX, USA","Dayton, OH, USA","Denver, CO, USA","Detroit, MI, USA","El Paso, TX, USA","Fort Wayne, IN, USA","Fresno, CA, USA","Grand Rapids, MI, USA","Greensboro, NC, USA","Greenville, SC, USA","Hartford, CT, USA","Houston, TX, USA","Indianapolis, IN, USA","Jacksonville, FL, USA","Kansas City, MO, USA","Knoxville, TN, USA","Las Vegas, NV, USA","Los Angeles, CA, USA","Louisville, KY, USA","Memphis, TN, USA","Miami, FL, USA","Milwaukee, WI, USA","Minneapolis, MN, USA","Nashville, TN, USA","New Orleans, LA, USA","New York, NY, USA","Oklahoma City, OK, USA","Omaha, NE, USA","Orlando, FL, USA","Philadelphia, PA, USA","Phoenix, AZ, USA","Pittsburgh, PA, USA","Portland, OR, USA","Raleigh, NC, USA","Richmond, VA, USA","Rochester, NY, USA","Sacramento, CA, USA","Salt Lake City, UT, USA","San Antonio, TX, USA","San Diego, CA, USA","San Francisco, CA, USA","Seattle, WA, USA","St. Louis, MO, USA","Tampa, FL, USA","Tucson, AZ, USA","Tulsa, OK, USA","Washington, USA","Wichita, KS, USA"
"Kansas City, MO, USA",2041629,2028082,1180954,1709523,826197,1179072,1116758,2307336,1582618,1774147,1548320,1295236,947711,1288002,1060960,1494355,814202,967505,2806718,1227086,1522603,775777,2902716,1063336,1634693,1444938,972565,1195215,820237,2842196,0,1176676,2175274,1944462,314037,726087,1850623,912813,702578,892102,1233306,1921746,562278,298197,2360735,1813620,0,1357080,2889489,1754058,1727240,1693814,2606280,1726951,1307539,2763065,2518914,2955975,398655,2000482,1951185,433877,2124189,979248
"Knoxville, TN, USA",1336079,1076859,1669579,844398,396166,1349758,413978,1492939,1098684,599654,373827,344014,403469,804068,575484,1817825,1356590,489194,3714222,824411,2377064,573863,3993822,973893,460200,270445,2147184,1484965,872901,4017293,1176910,0,3173113,2891196,1378216,629175,880228,1028773,1537150,289837,1055726,1138029,1378272,1473294,1409513,1003443,0,793440,4064586,579565,700661,1209879,3513785,2902048,1799647,3938162,3488091,4131072,781033,1049260,2920362,1274378,1342178,690070
"Las Vegas, NV, USA",4104441,3746511,2043786,3878776,2995450,2418573,2934811,4370148,3645431,3649332,3566678,3170142,3116964,3342572,3230212,2293014,1967369,3136757,635534,3239685,1174428,2945029,915133,3075935,3630446,3403906,1203944,2343310,2812258,1739490,2171957,3172429,0,662324,1886762,2544140,3568954,2878584,2668349,2884650,2631238,4058396,1795532,2066780,4079164,4008650,0,3529149,1561699,3749811,3870907,3756626,435096,676613,2060494,905616,534015,1793341,2567908,3718912,485299,1965430,4222739,3044824
"Los Angeles, CA, USA",4535685,4065226,2215853,3046860,3365352,2623945,3274898,4801392,4076674,3989419,3906764,3510228,3497066,3773815,3610315,2408021,2310521,3516860,351911,3670929,1289435,3325132,614531,3507179,3970533,3743993,1635188,2490035,3243502,1842887,2603201,3512516,434451,0,2226849,2884227,3887669,3309827,3099593,3224737,2919900,4489640,2135618,2498023,4397879,4362975,0,3906435,1548269,4089898,4210994,4187869,777331,1107857,2175501,618363,193631,1826688,2936709,4037626,600306,2305517,4653982,3476067
"Louisville, KY, USA",1314322,1362836,1658366,1138635,1125982,1521808,588359,1580029,855311,991937,766111,629990,160096,560695,332111,1863217,1345377,245821,3556538,581038,2334095,182405,3715411,596615,789431,662728,1784782,1530243,481443,3654890,814507,396110,2987491,2755954,0,617962,1185378,637315,1145692,281464,1227776,1188323,1219146,1110891,1695489,1080198,0,623658,3702184,908796,905593,966506,3356100,2539646,1784951,3575759,3330406,3768670,418630,1335237,2762677,1050986,1396881,374725
"Memphis, TN, USA",1927979,1361091,1041485,1470953,617838,910781,393843,2119494,1468968,1108363,1025709,629173,773754,1174352,945768,1246336,728496,859478,3086128,1210434,1748970,746794,3365728,1090811,1086755,862937,1760397,913362,857687,3566205,725776,628738,2545019,2263102,928662,0,1183633,1001220,1333210,340960,616749,1764584,750177,1022206,1693744,1629998,0,1237315,3613498,1206120,1327216,1580163,2885691,2450960,1168070,3356211,2859997,3679985,456026,1333492,2292268,646283,1968733,950265
"Miami, FL, USA",2282120,452027,2169481,1392347,1744145,1776107,1302181,2400821,2224593,939340,1172869,1066915,1807649,1998960,1854834,2244174,2114628,1893373,4617151,2164930,3106816,1925893,4896750,2340103,1277026,1179807,3325234,1911314,2172239,5195342,2354959,1409803,4076042,3620948,2622841,1695259,0,2324370,2858213,1467887,1482074,2065998,2444356,2651343,560223,1919025,0,1890072,5242635,1286710,1518347,2293450,4395951,4080097,2225996,4887233,4271274,5309121,1959082,378795,3797892,2340462,2241806,2118213
"Milwaukee, WI, USA",1284213,1998946,1925398,1277178,637911,1802527,1168671,1549920,823357,1625538,1372224,1266100,631695,701064,669627,2181440,1612423,635017,3508355,456201,2515207,449596,3488713,206658,1337832,1296329,1677345,1848467,148986,3091503,910051,1029710,2876912,2937066,1227422,999813,1821487,0,542524,861775,1613390,1416889,1400258,815974,2331599,1367143,0,887642,3323035,1457198,1384681,936397,3307918,2312947,2051983,3349061,3406837,3205282,599742,1971346,2943789,1232098,1581231,406673
"Minneapolis, MN, USA",1971222,2531694,1885958,1785466,1139571,1876633,1681499,2236929,1512211,2127197,1873884,1798849,1133355,1209352,1177915,2199359,1511763,1136676,3299974,1108449,2227607,951255,3175910,746888,1839492,1797988,1468963,1892776,657273,2551832,701669,1531370,2668530,2649465,1019041,1332777,2354236,541584,0,1395715,1946354,1925177,1267282,607592,2864347,1875431,0,1395929,2783364,1958857,1892968,1623406,3099536,2000145,2012543,3036258,3198456,2665612,900428,2504095,2656189,1131438,2089519,914960
"Nashville, TN, USA",1592674,1141275,1381631,1132085,282534,1241313,307864,1780625,1133664,887340,661514,408429,438449,839047,610463,1586482,1068642,524173,3426274,859390,2089116,464282,3705874,878492,747886,558131,1863622,1253508,710627,3733731,893348,289869,2885165,2603248,1094654,341227,963816,862758,1396601,0,947281,1425715,1090323,1189732,1473928,1291130,0,902010,3781024,867251,988347,1244859,3225837,2618486,1508216,3654599,3200143,3847510,497471,1113676,2632414,986429,1629864,656601
"New Orleans, LA, USA",2297366,1056602,818039,130632,1136129,424665,551268,2454226,1987259,1225116,1150956,754878,1292045,1692643,1464059,892732,792661,1377769,3295184,1712986,1755374,1317877,3574784,1725447,1287858,988184,2066172,559872,1492323,4154515,1360412,963470,2754075,2269505,1372511,635717,879045,1635856,1967846,855485,0,2099316,1119124,1656842,1389255,1964730,0,1754726,4058909,1406450,1607776,2098454,3044509,2786832,874554,3565267,2919831,4160913,1090662,1029002,2446450,1035086,2303465,1510197
"New York, NY, USA",244662,1823633,2802904,302063,1189260,2483083,1547303,349112,600447,1227360,984845,1367179,1025837,738992,858565,2951150,2489915,973621,4689644,988799,3448499,1139296,4670001,1200034,833707,1137242,2858634,2618290,1271461,4475678,1918567,1136243,4058201,3870357,2230041,1762500,1507447,1417134,1926699,1423162,2189051,0,2333550,1997262,2073648,152166,0,594531,4656774,785737,538791,504098,4489207,3494236,2932973,4530349,4444810,4589457,1533034,1735312,3877081,2165390,190097,1039593
"Oklahoma City, OK, USA",2456310,2107990,624517,2124205,1230678,791495,1140741,2722018,1997300,1855262,1772608,1376072,1362393,1702684,1475641,937918,332658,1382186,2338110,1684637,1115668,1190458,2617710,1520886,1836376,1609836,1090841,716231,1277788,3165556,568450,1378359,1797001,1537527,259106,750070,1930531,1400784,1269208,1090580,992490,2336427,0,733615,2440643,2228301,0,1771761,3069950,1955741,2076837,2108495,2137673,1907412,751102,2608193,2111979,3171955,802035,2080390,1544250,170843,2538870,1393930
"Omaha, NE, USA",2045044,2324805,1350683,1859289,1122920,1517660,1413129,2310751,1586034,2070870,1845043,1591959,1158463,1283175,1259003,1664084,1058824,1165548,2698632,1180288,1642661,974778,2678989,1016538,1868363,1741661,867622,1442397,752861,2549310,297927,1473399,2067189,2152413,483766,1022457,2147346,819187,608952,1188825,1529677,1998999,732007,0,2657458,1949253,0,1469752,2665762,1987729,1984526,1697229,2498195,1503224,1477268,2539337,2597114,2663089,695378,2297205,2097047,611679,2163342,985427
"Orlando, FL, USA",1951758,135535,1807351,1030217,1382015,1413977,940051,2070458,1894231,608978,842507,704785,1445519,1668598,1524471,1882044,1752498,1531243,4255021,1866460,2744686,1563763,4534620,1977973,946663,849444,2963104,1549184,1810109,4833212,1992829,1047673,3713912,3258818,2260711,1333129,229860,1962240,2496083,1105757,1119944,1735636,2082226,2289213,0,1588662,0,1559710,4880505,956348,1187985,1963088,4033821,3717967,1863866,4525103,3909144,4946991,1596952,377921,3435762,1978332,1911444,1756083
